scenario,model,seed,step,parent_id,child_id,parent_bit,child_bit,parent_theta,child_theta,mutation,event_negativity,event_chsh,event_resource_score,birth_probability,interaction_exposure
basis_selection,quantum,11,1,19,24,1,1,2.6430849430918926,2.6430849430918926,False,0.1658257436462017,1.7614950880155944,0.3316514872924034,0.4676,1.0
basis_selection,quantum,11,1,16,25,0,0,0.8971804266837071,0.8971804266837071,False,0.3341798405169604,2.337341343205947,0.6683596810339208,0.126,0.0
basis_selection,quantum,11,1,6,26,1,1,2.4499068562310544,2.4499068562310544,False,0.23896237813099436,1.9521173492266857,0.4779247562619887,0.43400000000000005,0.0
basis_selection,quantum,11,1,15,27,1,1,2.8824374094245426,2.8824374094245426,False,0.06982241500488821,1.5694772823752177,0.13964483000977643,0.4676,1.0
basis_selection,quantum,11,1,12,28,0,0,1.6965329747995197,1.6965329747995197,False,0.4131343307605939,2.5760323812620585,0.8262686615211878,0.0924,-1.0
basis_selection,quantum,11,2,18,29,1,1,2.9671387158763594,2.9671387158763594,False,0.038002105277014475,1.5246141019026347,0.07600421055402895,0.4676,1.0
basis_selection,quantum,11,2,5,30,1,0,1.8785602469292026,1.8785602469292026,False,0.39139177369048206,2.475916925886636,0.7827835473809641,0.43400000000000005,0.0
basis_selection,quantum,11,2,26,31,1,0,2.4499068562310544,2.4499068562310544,False,0.23896237813099436,1.9521173492266857,0.4779247562619887,0.4676,1.0
basis_selection,quantum,11,2,21,32,1,1,1.747221016829614,1.747221016829614,False,0.40853942360235707,2.5564170981826657,0.8170788472047141,0.4676,1.0
basis_selection,quantum,11,3,5,33,1,0,1.8785602469292026,1.8785602469292026,False,0.39139177369048206,2.475916925886636,0.7827835473809641,0.43400000000000005,0.0
basis_selection,quantum,11,3,6,34,1,1,2.4499068562310544,2.4499068562310544,False,0.23896237813099436,1.9521173492266857,0.4779247562619887,0.4676,1.0
basis_selection,quantum,11,3,27,35,1,1,2.8824374094245426,2.8824374094245426,False,0.06982241500488821,1.5694772823752177,0.13964483000977643,0.4676,1.0
basis_selection,quantum,11,3,2,36,1,0,1.9801295010439959,1.9801295010439959,False,0.37310949335519517,2.387725033331298,0.7462189867103903,0.4676,1.0
basis_selection,quantum,11,3,18,37,1,1,2.9671387158763594,2.9671387158763594,False,0.038002105277014475,1.5246141019026347,0.07600421055402895,0.4676,1.0
basis_selection,quantum,11,4,2,38,1,1,1.9801295010439959,1.9801295010439959,False,0.37310949335519517,2.387725033331298,0.7462189867103903,0.43400000000000005,0.0
basis_selection,quantum,11,4,32,39,1,1,1.747221016829614,1.747221016829614,False,0.40853942360235707,2.5564170981826657,0.8170788472047141,0.4676,1.0
basis_selection,quantum,11,4,35,40,1,1,2.8824374094245426,2.8824374094245426,False,0.06982241500488821,1.5694772823752177,0.13964483000977643,0.4676,1.0
basis_selection,quantum,11,4,37,41,1,1,2.9671387158763594,2.9671387158763594,False,0.038002105277014475,1.5246141019026347,0.07600421055402895,0.43400000000000005,0.0
basis_selection,quantum,11,4,13,42,1,0,1.7948688432096862,1.7948688432096862,False,0.4031845680648177,2.532083980369321,0.8063691361296355,0.4676,1.0
