scenario,model,seed,steps,initial_population,carrying_capacity,birth_count,death_count,turnover_events,reproduction_opportunity_count,evaluated_birth_attempt_count,capacity_blocked_opportunity_count,capacity_blocked_fraction,final_population,mean_population,max_lineage_depth,mean_lineage_depth_alive,parent_offspring_agreement,parent_offspring_mutual_information,shuffled_lineage_mutual_information,shuffled_lineage_mutual_information_p95,lineage_mi_permutation_p_value,theta_parent_child_correlation,mutation_event_rate,transmitted_variant_rate,selection_gradient_birth_rate_bit1_minus_bit0,mean_birth_probability,mean_event_resource_score,mean_event_negativity,mean_event_chsh,final_p_one_alive,final_shannon_diversity_alive,mean_shannon_diversity_alive,theta_mean_alive,theta_std_alive,interaction_birth_covariance
basis_selection,quantum,11,64,24,80,720,664,1384,4038,2103,1935,0.47919762258543835,80,73.56923076923077,19,11.8875,0.7138888888888889,0.006681732393356447,0.0009771734304654407,0.004273648436632084,0.014925373134328358,0.9857301731828786,0.0875,0.47619047619047616,0.1841768925976298,0.3370401188707281,0.414202380517017,0.2071011902585085,1.9496019753046205,0.7,0.8812908992306927,0.88861799578539,2.563057597469456,0.47580916710542237,0.04768848980745323
basis_selection,quantum,12,64,24,80,706,650,1356,4113,2047,2066,0.5023097495745198,80,74.50769230769231,16,10.3375,0.6883852691218131,0.011644648326714847,0.0010991858479544566,0.004400861302210545,0.004975124378109453,0.9845472750873228,0.0764872521246459,0.48148148148148145,0.16086632397574596,0.33842830051057626,0.5360665126323789,0.26803325631618946,2.100940130583288,0.7875,0.7462343013654811,0.8838497175993499,2.3165265454714,0.3667426085320727,0.040528661235487685
basis_selection,quantum,13,64,24,80,714,658,1372,4089,2058,2031,0.4966984592809978,80,74.26153846153846,14,9.4,0.6582633053221288,2.8276463794582422e-05,0.0008636953556826353,0.0028374069359327816,0.8855721393034826,0.9586790371554046,0.09243697478991597,0.5303030303030303,0.15333637412465456,0.34213480068476404,0.5775517693079759,0.28877588465398796,2.1293424230520532,0.7875,0.7462343013654811,0.8746629285875009,2.3220008073912357,0.2721371970718045,0.038189893361338254
basis_selection,quantum,14,64,24,80,746,690,1436,4110,2452,1658,0.40340632603406323,80,75.07692307692308,17,10.675,0.6233243967828418,0.00692875829897421,0.0009294480366032287,0.004043621414926967,0.009950248756218905,0.9703476121154184,0.08981233243967829,0.4626865671641791,0.2004653804576852,0.30671649635036496,0.6847177708582123,0.34235888542910614,2.3101854691874597,0.7125,0.8654698974285928,0.9696491946771204,2.273361218884099,0.3810587038031632,0.0561577305367598
basis_selection,quantum,15,64,24,80,721,665,1386,4108,2077,2031,0.4944011684518014,80,74.66153846153846,15,10.075,0.7212205270457698,0.004091704521253002,0.0011046363773919094,0.003355066918660857,0.05472636815920398,0.9745518688140271,0.07905686546463246,0.543859649122807,0.17338560463113928,0.341053359298929,0.4520849468921945,0.22604247344609724,1.9496527324723307,0.825,0.6690158350565577,0.8625546745674545,2.6429691500013894,0.18059351741424837,0.044923802701926314
basis_selection,quantum,16,64,24,80,693,637,1330,4143,2290,1853,0.4472604392951967,80,74.76923076923077,17,10.5875,0.6565656565656566,0.005455497332955212,0.001088676901680956,0.004209315033449708,0.03482587064676617,0.9790520448720512,0.07503607503607504,0.5192307692307693,0.16323447395867896,0.32350306541153756,0.5242722793411415,0.26213613967057076,2.0549509406081294,0.7375,0.8304955225035798,0.9048631691877401,2.4256020819171615,0.23596866982832237,0.04211967421733141
basis_selection,quantum,17,64,24,80,739,683,1422,4088,2132,1956,0.47847358121330724,80,74.63076923076923,15,8.2875,0.7266576454668471,0.018726055834252617,0.0009805931545901277,0.0034792736582688524,0.004975124378109453,0.9852273052847945,0.07036535859269283,0.5384615384615384,0.1834472049689441,0.33671232876712337,0.4814145685271274,0.2407072842635637,2.018053498171094,0.85,0.6098403047164005,0.8785994133743797,2.492587422972359,0.3896134419196229,0.047070251913863694
basis_selection,quantum,18,64,24,80,716,660,1376,4032,2187,1845,0.4575892857142857,80,73.41538461538461,18,13.6,0.7304469273743017,0.007479490132845077,0.0010301627478261654,0.0046714166571164735,0.01990049751243781,0.968937820300911,0.0782122905027933,0.375,0.16567242281527997,0.3509583333333334,0.381663843078211,0.1908319215391055,1.8644121659636161,0.8375,0.6402569436810504,0.8122734786307164,2.678496575534493,0.24298770219686638,0.04414903982426306
basis_selection,quantum,19,64,24,80,679,623,1302,4062,2045,2017,0.4965534219596258,80,73.3076923076923,18,9.625,0.7422680412371134,0.015485641450814488,0.0010088701119290665,0.003932167823323401,0.004975124378109453,0.9831897907619858,0.0662739322533137,0.4666666666666667,0.14488030136067387,0.3489481043820778,0.3832399024022519,0.19161995120112596,1.8698826749276345,0.75,0.8112781244591328,0.8035611288516247,2.548766608026284,0.3977517416624472,0.03741853559342742
basis_selection,quantum,20,64,24,80,731,675,1406,4124,2136,1988,0.48205625606207564,80,75.06153846153846,17,8.4625,0.7209302325581395,0.009203776141827987,0.0007962868679323467,0.0029356017547003312,0.004975124378109453,0.9874892386689117,0.08071135430916553,0.3898305084745763,0.17309574875185774,0.3406576139670224,0.43268412155410285,0.21634206077705143,1.9774421649130602,0.7875,0.7462343013654811,0.870610651003047,2.537449827153133,0.4991562869609232,0.04472718190037076
basis_selection,dephased,11,64,24,80,720,664,1384,4038,2103,1935,0.47919762258543835,80,73.56923076923077,19,11.8875,0.7138888888888889,0.006681732393356447,0.0009771734304654407,0.004273648436632084,0.014925373134328358,0.9857301731828786,0.0875,0.47619047619047616,0.1841768925976298,0.3370401188707281,0.0,0.0,1.5293316980115457,0.7,0.8812908992306927,0.88861799578539,2.563057597469456,0.47580916710542237,0.04768848980745323
basis_selection,dephased,12,64,24,80,706,650,1356,4113,2047,2066,0.5023097495745198,80,74.50769230769231,16,10.3375,0.6883852691218131,0.011644648326714847,0.0010991858479544566,0.004400861302210545,0.004975124378109453,0.9845472750873228,0.0764872521246459,0.48148148148148145,0.16086632397574596,0.33842830051057626,0.0,0.0,1.5567595157432608,0.7875,0.7462343013654811,0.8838497175993499,2.3165265454714,0.3667426085320727,0.040528661235487685
basis_selection,dephased,13,64,24,80,714,658,1372,4089,2058,2031,0.4966984592809978,80,74.26153846153846,14,9.4,0.6582633053221288,2.8276463794582422e-05,0.0008636953556826353,0.0028374069359327816,0.8855721393034826,0.9586790371554046,0.09243697478991597,0.5303030303030303,0.15333637412465456,0.34213480068476404,0.0,0.0,1.5466265579598455,0.7875,0.7462343013654811,0.8746629285875009,2.3220008073912357,0.2721371970718045,0.038189893361338254
basis_selection,dephased,14,64,24,80,746,690,1436,4110,2452,1658,0.40340632603406323,80,75.07692307692308,17,10.675,0.6233243967828418,0.00692875829897421,0.0009294480366032287,0.004043621414926967,0.009950248756218905,0.9703476121154184,0.08981233243967829,0.4626865671641791,0.2004653804576852,0.30671649635036496,0.0,0.0,1.5870302422287978,0.7125,0.8654698974285928,0.9696491946771204,2.273361218884099,0.3810587038031632,0.0561577305367598
basis_selection,dephased,15,64,24,80,721,665,1386,4108,2077,2031,0.4944011684518014,80,74.66153846153846,15,10.075,0.7212205270457698,0.004091704521253002,0.0011046363773919094,0.003355066918660857,0.05472636815920398,0.9745518688140271,0.07905686546463246,0.543859649122807,0.17338560463113928,0.341053359298929,0.0,0.0,1.5227299623071642,0.825,0.6690158350565577,0.8625546745674545,2.6429691500013894,0.18059351741424837,0.044923802701926314
basis_selection,dephased,16,64,24,80,693,637,1330,4143,2290,1853,0.4472604392951967,80,74.76923076923077,17,10.5875,0.6565656565656566,0.005455497332955212,0.001088676901680956,0.004209315033449708,0.03482587064676617,0.9790520448720512,0.07503607503607504,0.5192307692307693,0.16323447395867896,0.32350306541153756,0.0,0.0,1.54497342788615,0.7375,0.8304955225035798,0.9048631691877401,2.4256020819171615,0.23596866982832237,0.04211967421733141
basis_selection,dephased,17,64,24,80,739,683,1422,4088,2132,1956,0.47847358121330724,80,74.63076923076923,15,8.2875,0.7266576454668471,0.018726055834252617,0.0009805931545901277,0.0034792736582688524,0.004975124378109453,0.9852273052847945,0.07036535859269283,0.5384615384615384,0.1834472049689441,0.33671232876712337,0.0,0.0,1.539523707209421,0.85,0.6098403047164005,0.8785994133743797,2.492587422972359,0.3896134419196229,0.047070251913863694
basis_selection,dephased,18,64,24,80,716,660,1376,4032,2187,1845,0.4575892857142857,80,73.41538461538461,18,13.6,0.7304469273743017,0.007479490132845077,0.0010301627478261654,0.0046714166571164735,0.01990049751243781,0.968937820300911,0.0782122905027933,0.375,0.16567242281527997,0.3509583333333334,0.0,0.0,1.5127549906679263,0.8375,0.6402569436810504,0.8122734786307164,2.678496575534493,0.24298770219686638,0.04414903982426306
basis_selection,dephased,19,64,24,80,679,623,1302,4062,2045,2017,0.4965534219596258,80,73.3076923076923,18,9.625,0.7422680412371134,0.015485641450814488,0.0010088701119290665,0.003932167823323401,0.004975124378109453,0.9831897907619858,0.0662739322533137,0.4666666666666667,0.14488030136067387,0.3489481043820778,0.0,0.0,1.522718271219099,0.75,0.8112781244591328,0.8035611288516247,2.548766608026284,0.3977517416624472,0.03741853559342742
basis_selection,dephased,20,64,24,80,731,675,1406,4124,2136,1988,0.48205625606207564,80,75.06153846153846,17,8.4625,0.7209302325581395,0.009203776141827987,0.0007962868679323467,0.0029356017547003312,0.004975124378109453,0.9874892386689117,0.08071135430916553,0.3898305084745763,0.17309574875185774,0.3406576139670224,0.0,0.0,1.5348994462281584,0.7875,0.7462343013654811,0.870610651003047,2.537449827153133,0.4991562869609232,0.04472718190037076
