scenario,model,seed,id,parent_id,birth_step,death_step,generation,theta,expressed_bit,birth_event_negativity,birth_event_chsh,birth_event_resource_score,mutation_from_parent,birth_count
basis_selection,quantum,11,0,,0,1,0,0.9753680014716201,1,0.3538750089456115,2.3847084583226237,0.707750017891223,False,0
basis_selection,quantum,11,1,,0,18,0,1.264238696782204,0,0.40516728676835456,2.5127209342316865,0.8103345735367091,False,0
basis_selection,quantum,11,2,,0,7,0,1.9801295010439959,1,0.37310949335519517,2.387725033331298,0.7462189867103903,False,2
basis_selection,quantum,11,3,,0,14,0,1.9554958207890694,1,0.3779341089686394,2.4105965392848616,0.7558682179372788,False,3
basis_selection,quantum,11,4,,0,19,0,0.8114071846415329,0,0.30997062864122343,2.281247642492742,0.6199412572824469,False,1
basis_selection,quantum,11,5,,0,28,0,1.8785602469292026,1,0.39139177369048206,2.475916925886636,0.7827835473809641,False,11
basis_selection,quantum,11,6,,0,16,0,2.4499068562310544,1,0.23896237813099436,1.9521173492266857,0.4779247562619887,False,5
basis_selection,quantum,11,7,,0,6,0,0.8715972957832822,0,0.327236940711943,2.3209991981183618,0.654473881423886,False,0
basis_selection,quantum,11,8,,0,14,0,1.1924441704926176,0,0.3957224297557683,2.4889295040618387,0.7914448595115366,False,1
basis_selection,quantum,11,9,,0,3,0,0.9552623735479117,0,0.34903396308954127,2.3729360288747925,0.6980679261790825,False,0
basis_selection,quantum,11,10,,0,28,0,1.9311576097541752,0,0.3824572868492306,2.432468427917021,0.7649145736984612,False,2
basis_selection,quantum,11,11,,0,13,0,0.4859437742320945,0,0.1966657009390318,2.058741268203311,0.3933314018780636,False,3
basis_selection,quantum,11,12,,0,4,0,1.6965329747995197,0,0.4131343307605939,2.5760323812620585,0.8262686615211878,False,1
basis_selection,quantum,11,13,,0,6,0,1.7948688432096862,1,0.4031845680648177,2.532083980369321,0.8063691361296355,False,1
basis_selection,quantum,11,14,,0,36,0,0.9277343229455141,0,0.3421531192876065,2.3563448691690945,0.684306238575213,False,2
basis_selection,quantum,11,15,,0,5,0,2.8824374094245426,1,0.06982241500488821,1.5694772823752177,0.13964483000977643,False,1
basis_selection,quantum,11,16,,0,5,0,0.8971804266837071,0,0.3341798405169604,2.337341343205947,0.6683596810339208,False,1
basis_selection,quantum,11,17,,0,1,0,2.3648401250848066,1,0.26848211835925895,2.037311597567299,0.5369642367185179,False,0
basis_selection,quantum,11,18,,0,5,0,2.9671387158763594,1,0.038002105277014475,1.5246141019026347,0.07600421055402895,False,2
basis_selection,quantum,11,19,,0,2,0,2.6430849430918926,1,0.1658257436462017,1.7614950880155944,0.3316514872924034,False,1
basis_selection,quantum,11,20,,0,2,0,1.2246900526705085,0,0.4002430900635838,2.500298344884402,0.8004861801271675,False,0
basis_selection,quantum,11,21,,0,13,0,1.747221016829614,1,0.40853942360235707,2.5564170981826657,0.8170788472047141,False,4
basis_selection,quantum,11,22,,0,1,0,0.4536132767827202,0,0.18385785342221048,2.0384458394762848,0.36771570684442095,False,0
basis_selection,quantum,11,23,,0,13,0,0.6928056290335038,0,0.2723358854159607,2.19947610260964,0.5446717708319214,False,0
basis_selection,quantum,11,24,19,1,2,1,2.6430849430918926,1,0.1658257436462017,1.7614950880155944,0.3316514872924034,False,0
basis_selection,quantum,11,25,16,1,8,1,0.8971804266837071,0,0.3341798405169604,2.337341343205947,0.6683596810339208,False,0
basis_selection,quantum,11,26,6,1,3,1,2.4499068562310544,1,0.23896237813099436,1.9521173492266857,0.4779247562619887,False,1
